shift_date,market,utilization_percent
2016-11-06,6-DAL,49.47761
2016-11-06,7-HOU,38.43928
2016-11-06,8-ATL,29.56039
2016-11-06,9-MIA,50.75014
2016-11-05,1-BAY,44.9404
2016-11-05,2-NY,49.16554
2016-11-05,4-LA,45.82875
2016-11-05,5-CHI,50.94641
2016-11-05,6-DAL,57.11282
2016-11-05,7-HOU,48.82726
2016-11-05,8-ATL,55.69965
2016-11-05,9-MIA,32.83043
2016-11-04,1-BAY,51.31109
2016-11-04,2-NY,36.4748
2016-11-04,4-LA,46.3325
2016-11-04,5-CHI,47.40097
2016-11-04,6-DAL,52.98196
2016-11-04,7-HOU,47.52588
2016-11-04,8-ATL,54.79283
2016-11-04,9-MIA,27.25822
2016-11-03,1-BAY,40.37814
2016-11-03,2-NY,33.16797
2016-11-03,4-LA,40.4078
2016-11-03,5-CHI,46.91405
2016-11-03,6-DAL,39.42592
2016-11-03,7-HOU,44.45068
2016-11-03,8-ATL,25.53802
2016-11-03,9-MIA,29.34756
2016-11-02,1-BAY,41.24503
2016-11-02,2-NY,22.45825
2016-11-02,4-LA,39.57713
2016-11-02,5-CHI,28.81634
2016-11-02,6-DAL,44.22532
2016-11-02,7-HOU,30.63672
2016-11-02,8-ATL,37.19759
2016-11-02,9-MIA,23.74691
2016-11-01,1-BAY,47.01911
2016-11-01,2-NY,36.54768
2016-11-01,4-LA,56.18199
2016-11-01,5-CHI,50.37846
2016-11-01,6-DAL,39.40103
2016-11-01,7-HOU,32.15073
2016-11-01,8-ATL,43.26525
2016-11-01,9-MIA,40.29223
2016-10-31,1-BAY,38.22885
2016-10-31,2-NY,24.00145
2016-10-31,4-LA,47.27807
2016-10-31,5-CHI,48.00931
2016-10-31,6-DAL,58.24863
2016-10-31,7-HOU,46.52512
2016-10-31,8-ATL,42.56173
2016-10-31,9-MIA,31.10999
2016-10-30,1-BAY,45.9814
2016-10-30,2-NY,28.53228
2016-10-30,4-LA,26.26037
2016-10-30,5-CHI,68.60404
2016-10-30,6-DAL,52.92292
2016-10-30,7-HOU,50.45169
2016-10-30,8-ATL,48.89062
2016-10-30,9-MIA,38.15115
2016-10-29,1-BAY,49.25685
2016-10-29,2-NY,35.68211
2016-10-29,4-LA,43.10068
2016-10-29,5-CHI,60.20517
2016-10-29,6-DAL,50.79843
2016-10-29,7-HOU,40.47026
2016-10-29,8-ATL,62.96268
2016-10-29,9-MIA,28.99977
2016-10-28,1-BAY,49.6683
2016-10-28,2-NY,39.10103
2016-10-28,4-LA,48.20719
2016-10-28,5-CHI,39.40303
2016-10-28,6-DAL,46.53158
2016-10-28,7-HOU,49.56694
2016-10-28,8-ATL,56.41544
2016-10-28,9-MIA,38.17796
2016-10-27,1-BAY,50.35447
2016-10-27,2-NY,30.33837
2016-10-27,4-LA,53.52353
2016-10-27,5-CHI,36.14682
2016-10-27,6-DAL,59.6605
2016-10-27,7-HOU,50.85533
2016-10-27,8-ATL,48.63106
2016-10-27,9-MIA,43.21073
2016-10-26,1-BAY,46.32624
2016-10-26,2-NY,28.86305
2016-10-26,4-LA,43.68134
2016-10-26,5-CHI,41.11227
2016-10-26,6-DAL,64.47263
2016-10-26,7-HOU,37.93642
2016-10-26,8-ATL,53.78574
2016-10-26,9-MIA,42.79921
2016-10-25,1-BAY,48.31209
2016-10-25,2-NY,43.66402
2016-10-25,4-LA,48.88097
2016-10-25,5-CHI,40.9912
2016-10-25,6-DAL,59.23784
2016-10-25,7-HOU,35.96098
2016-10-25,8-ATL,36.58868
2016-10-25,9-MIA,53.35993
2016-10-24,1-BAY,53.41498
2016-10-24,2-NY,47.39996
2016-10-24,4-LA,42.50988
2016-10-24,5-CHI,52.52864
2016-10-24,6-DAL,64.47507
2016-10-24,7-HOU,38.21891
2016-10-24,8-ATL,47.77456
